id,brand,category,gender,target_audience,price
20058,Gillette,Gezond & verzorging,Man,Mannen,3.99
21230,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,1.99
16901,Glorix,Huishouden,Unisex,Volwassenen,1.49
16827,Cleany,Huishouden,Gezin,Kantoor,1.09
33335,Lenor,Huishouden,Gezin,Volwassenen,2.99
29612,Hero,Eten & drinken,Kinderen,Kinderen,0.59
28862,Nivea,Make-up & geuren,Vrouw,Vrouwen,3.99
3896,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.29
20070,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.99
20596,Odorex,Gezond & verzorging,Vrouw,Vrouwen,1.99
29777,Oral-B,Gezond & verzorging,Unisex,Volwassenen,1.79
16800,OB,Gezond & verzorging,Vrouw,Vrouwen,2.49
27324,At Home,Huishouden,Unisex,Volwassenen,1.29
32484,Pampers,Baby & kind,Gezin,Baby's,6.67
24727,At Home,Huishouden,Unisex,Volwassenen,1.29
27043,At Home,Huishouden,Gezin,Volwassenen,1.29
26927,BIC,Gezond & verzorging,Vrouw,Vrouwen,1.79
29115,Blue Wonder,Huishouden,B2B,Volwassenen,0.99
28012,Bref,Huishouden,B2B,Kantoor,1.49
27097,Bref,Huishouden,B2B,Kantoor,1.49
17010,Dove,Gezond & verzorging,Vrouw,Vrouwen,2.29
33064,Dixan,Huishouden,Gezin,Volwassenen,9.98
27970,Dumil,Baby & kind,Gezin,Baby's,1.29
8929,Dove,Gezond & verzorging,Vrouw,Vrouwen,2.99
33343,Elmex,Gezond & verzorging,Unisex,Volwassenen,2.29
16759,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,2.99
26284,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
31807,KFS-B-Candles,Wonen & vrije tijd,Unisex,Volwassenen,1.49
3077,Gillette,Gezond & verzorging,Man,Mannen,3.99
33236,Glade,Huishouden,Unisex,Kantoor,1.29
3532,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,1.99
26027,Herbal,Gezond & verzorging,Vrouw,Vrouwen,1.79
33160,HL Agenturen,Huishouden,Unisex,Volwassenen,3.49
33159,HL Agenturen,Huishouden,Unisex,Volwassenen,3.49
20420,Nivea,Gezond & verzorging,Man,Mannen,5.39
22014,Nivea,Gezond & verzorging,Man,Mannen,2.29
17185,Nivea,Gezond & verzorging,Man,Mannen,1.99
25876,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.99
20622,Nivea,Gezond & verzorging,Vrouw,Vrouwen,3.99
5746,OB,Gezond & verzorging,Vrouw,Vrouwen,2.49
31675,At Home,Huishouden,B2B,Kantoor,0.99
24730,At Home,Huishouden,Unisex,Volwassenen,1.29
20812,Axe,Gezond & verzorging,Man,Mannen,1.49
26184,At Home,Huishouden,B2B,Kantoor,1.29
33205,Axe,Gezond & verzorging,Man,Mannen,1.79
9424,Byphasse,Gezond & verzorging,Vrouw,Vrouwen,1.79
26545,Dove,Gezond & verzorging,Unisex,Volwassenen,0.99
31282,Dasty,Huishouden,Unisex,Volwassenen,2.29
27960,Dumil,Huishouden,Gezin,Volwassenen,1.99
27965,Dumil,Huishouden,Gezin,Volwassenen,1.49
